chakma,bangla
𑄃𑄧𑄇𑄴𑄖𑄧 𑄃𑄪𑄠𑄬 𑄥𑄧𑄁 𑄃𑄧𑄃𑄨𑄝𑄬 𑄎𑄧𑄙𑄝𑄧𑄣𑄬 𑄟𑄪𑄏𑄪𑄋𑄬 𑄃𑄪𑄎𑄬 𑄡𑄬𑄝𑄢𑄴,.অতিরিক্ত উঠতে হবে বলে সামনে এগিয়ে যেতে হবে
𑄡𑄨𑄙𑄪 𑄗𑄬𑄘𑄬𑄥𑄖𑄴 𑄣𑄪𑄉𑄬𑄃𑄨 𑄚𑄧 𑄗𑄬𑄌𑄴 𑄃𑄢𑄴।,যেখানে সেখানে পে থাকিও না
𑄝𑄬𑄎𑄖𑄴 𑄃𑄬𑄖𑄴𑄖𑄧𑄚𑄴 𑄇𑄧𑄣𑄬𑄃𑄮 𑄌𑄨𑄉𑄮𑄚𑄴 𑄉𑄪𑄢𑄧𑄃𑄪𑄚𑄴 𑄚𑄧 𑄘𑄧𑄢𑄚𑄴 𑄃𑄢,বোতে এত কল দিলেও ছোট বাচ্চারা ভ পা না
𑄎𑄪𑄟𑄴𑄟𑄧𑄝𑄨𑄘𑄊𑄨 𑄝𑄚 𑄞𑄖𑄴 𑄛𑄨𑄣𑄬𑄝𑄮𑄣𑄮𑄃𑄨 𑄚𑄧 𑄗𑄚𑄴 𑄃𑄢𑄴,জুম্মবিরা শুধু ভাত খাওার জন্য থাকে না
𑄉𑄞𑄪𑄎𑄳𑄠𑄃𑄪𑄚𑄴 𑄝𑄨𑄎𑄧𑄠𑄴 𑄉𑄨𑄢𑄨 𑄦𑄮𑄝𑄇𑄴 𑄃𑄢𑄴 𑄃𑄬𑄇𑄴𑄝𑄢𑄴,গািাগুলো আরও শক্ত হে যাবে
𑄇𑄬𑄃𑄪𑄎𑄧𑄚𑄬 𑄊𑄧𑄢𑄧 𑄇𑄮𑄚𑄖𑄴 𑄝𑄧𑄎𑄨 𑄚𑄧 𑄗𑄬𑄝𑄇𑄴 𑄃𑄢𑄴,কারো বািতে আর বসে থাকবে না
𑄃𑄇𑄴𑄖𑄧 𑄃𑄪𑄠𑄬 𑄖𑄧𑄢𑄴 𑄜𑄨𑄢𑄨 𑄃𑄬𑄝𑄢𑄴।,তোমার ফিরে যাওা এখন
𑄟𑄨𑄑𑄨𑄁 𑄟𑄨𑄍𑄨𑄣𑄧𑄖𑄴 𑄃𑄉𑄧𑄚𑄴𑄘𑄨 𑄟𑄚𑄪𑄌𑄴 𑄃𑄬𑄃𑄨,সভা-সমাবেশে অনেক লোক আসে
𑄢𑄎𑄴𑄛𑄧𑄘𑄧𑄖𑄴 𑄥𑄮𑄣𑄧𑄉𑄚𑄴 𑄘𑄨𑄝𑄇𑄴 𑄃𑄬𑄝𑄢𑄴।,রাজকার্যে যোগ দাওা যাক
𑄛𑄧𑄖𑄴𑄖𑄧𑄇𑄪𑄣𑄳𑄠𑄃𑄪𑄚𑄧𑄢𑄴 𑄊𑄨𑄣𑄬𑄎𑄧𑄝𑄧𑄢𑄴 𑄈𑄧𑄝𑄧𑄢𑄚𑄴 𑄛𑄬𑄃𑄨,পথকলিরা ঘিলুর খবর পেে
𑄝𑄬𑄎𑄘𑄧𑄢𑄬 𑄘𑄧𑄢𑄬 𑄇𑄪𑄙𑄪 𑄡𑄬𑄝𑄇𑄴 𑄈𑄧𑄝𑄧𑄢𑄴 𑄚𑄧 𑄛𑄬𑄝𑄇𑄴 𑄃𑄢𑄴,বোদের জন্য আর কোথা যে খবর পাবি না আর
𑄝𑄚 𑄖𑄧𑄢𑄬 𑄖𑄮𑄉𑄘𑄧𑄚𑄴 𑄣𑄢𑄳𑄦𑄬𑄠𑄧𑄖𑄴 𑄥𑄧𑄟𑄢𑄴।,.শুধু তোমাকে তরকারিটা লাইে আসতেছে
𑄝𑄬𑄇𑄴𑄇𑄪𑄚𑄧𑄢𑄴 𑄎𑄘𑄧𑄢𑄴𑄣𑄠𑄴 𑄣𑄮 𑄃𑄪𑄘𑄮𑄢𑄢𑄴,সবাই জাগা রোদ পোহাচ্ছে
𑄃𑄧𑄇𑄴𑄖𑄧 𑄃𑄪𑄠𑄬 𑄚𑄪𑄃𑄧 𑄉𑄧𑄢𑄨 𑄦𑄖𑄳𑄠𑄢𑄴 𑄇𑄚𑄖𑄴 𑄣𑄧𑄝𑄢𑄴,.অতি উে হাত দিে হাত বের করার জন্য
𑄦𑄢𑄨𑄠𑄳𑄠 𑄢𑄬𑄎𑄳𑄠𑄧 𑄃𑄢𑄧 𑄌𑄘𑄨𑄉𑄋𑄴 𑄃𑄢𑄪𑄇𑄴𑄈𑄚𑄴 𑄛𑄨𑄖𑄴𑄖𑄨𑄟𑄨 𑄝𑄪𑄉𑄧𑄖𑄴,হািা রাত এবং চাটাইটা আরও শক্ত হেছে
𑄝𑄬𑄉𑄬 𑄌𑄘𑄧𑄚𑄴 𑄜𑄨𑄢𑄨 𑄃𑄚𑄨𑄝𑄢𑄴,দ্রুত চাঁদ ফিরে আনার জন্য
𑄝𑄚 𑄝𑄉𑄨 𑄃𑄉𑄬 𑄖𑄪𑄃𑄨 𑄜𑄨𑄢𑄨 𑄃𑄬𑄝𑄢𑄴।,শুধু অপেক্ষা করে থাকো তুমি এখন ফিরো
𑄚𑄮𑄠𑄢𑄟𑄴 𑄌𑄋𑄴𑄟 𑄎𑄨𑄁𑄇𑄚𑄨 𑄣𑄟,নাচা চা জীবনে অভ্যস্ত হওা
𑄥𑄪𑄚𑄚𑄪 𑄃𑄨𑄎𑄬𑄝𑄴 𑄌𑄋𑄴𑄟,সুঁচালো চামা
"𑄡𑄬 𑄉𑄧𑄘 𑄎𑄨𑄁𑄇𑄚𑄨 𑄥𑄧𑄁 𑄚𑄨𑄎𑄧 𑄇𑄧𑄙 𑄚𑄧 𑄞𑄝𑄨 𑄌𑄋𑄴𑄟 𑄞𑄌𑄴, 𑄃𑄧𑄏𑄛𑄖𑄴, 𑄢𑄨𑄘𑄨𑄥𑄪𑄙𑄮𑄟𑄴 𑄃𑄣𑄳𑄠𑄇𑄴𑄈𑄚𑄨 𑄞𑄣𑄬𑄘𑄨 𑄛𑄧𑄘𑄧𑄖𑄴 𑄃𑄚𑄨𑄝𑄖𑄴𑄬 𑄣𑄬𑄖𑄴𑄛𑄬𑄖𑄴 𑄉𑄧𑄢𑄨 𑄢𑄧𑄠𑄬 𑄖𑄬 𑄦𑄧𑄣𑄧𑄘𑄬 𑄥𑄪𑄚𑄚𑄪 𑄚𑄪𑄠𑄮𑄢𑄟𑄴 𑄌𑄋𑄴𑄟।","যে পুরো জীবনে নিজের কথা চিন্তা করে না,অচেতনভাবে পালিে আছে সে"
𑄖𑄢𑄴 𑄎𑄧𑄚𑄧𑄟𑄴 𑄚𑄧 𑄦𑄧𑄣𑄬 𑄃𑄧𑄏𑄛𑄖𑄴 𑄦𑄧𑄠𑄧𑄘𑄧 𑄦𑄏𑄨 𑄡𑄘𑄬 𑄃𑄘𑄧𑄁 𑄚𑄬𑄭।,তার জন্ম না হলে সংসারে হনা
𑄖𑄢𑄴 𑄌𑄬𑄘𑄧𑄚𑄧𑄢𑄴 𑄝𑄧𑄣𑄬 𑄃𑄬𑄌𑄳𑄠𑄬 𑄃𑄟𑄨 𑄃𑄟 𑄣𑄮 𑄜𑄪𑄘𑄧 𑄃𑄧𑄏𑄛𑄖𑄴 𑄘𑄮𑄣𑄬 𑄘𑄮𑄣𑄬 𑄣𑄢𑄴𑄌𑄢𑄴 𑄉𑄧𑄢𑄨 𑄛𑄢𑄨𑄢𑄴।,তার চূা আমরা ভালোভাবে হাঁটতে পারি
"𑄥𑄪𑄚𑄚𑄪 𑄚𑄮𑄠𑄢𑄟𑄴 𑄌𑄋𑄴𑄟 𑄝𑄛𑄴𑄮 𑄚𑄋𑄚𑄴 𑄥𑄪𑄚𑄚𑄪 𑄥𑄪𑄇𑄳𑄢𑄧𑄟𑄧𑄕𑄨 𑄌𑄋𑄴𑄟, 𑄟𑄝𑄱 𑄚𑄋𑄚𑄴 𑄇𑄣𑄝𑄨 𑄌𑄋𑄴𑄟।",".শুনানো নাাচাা করতে করতে ক্লান্ত, মাার নাাচাা করতে ক্লান্ত"
𑄖𑄢𑄴 𑄛𑄌𑄴𑄮 𑄏𑄨 𑄃 𑄃𑄬𑄇𑄴𑄮 𑄛𑄪𑄃𑄧।,তার পাের মেে একটা বাচ্চা
𑄷।,১. ১. এক জাতী বুনো ফল
"𑄥𑄪𑄚𑄚𑄪 𑄝𑄥𑄧𑄚𑄴𑄖𑄨 𑄌𑄋𑄴𑄟, 𑄸।","সুঁচালো চামা, ২. সুঁচালো চাংমা"
"𑄥𑄪𑄚𑄚𑄪 𑄃𑄢𑄧𑄖𑄨 𑄌𑄋𑄴𑄟, 𑄹।",".সুঁচালো তরকারি, ৩.সুঁচালো তরকারি"
"𑄥𑄪𑄚𑄚𑄪 𑄝𑄨𑄢𑄧𑄖𑄨 𑄌𑄋𑄴𑄟, 𑄺।",".সুঁচালো চুমুক, ৪.সুঁচালো চামা"
"𑄥𑄪𑄚𑄚𑄪 𑄟𑄧𑄚𑄧𑄘𑄬𑄝𑄨 𑄌𑄋𑄴𑄟, 𑄻।",".শুনানো মনের মানুষ,৫"
𑄥𑄪𑄚𑄚𑄪 𑄇𑄧𑄣𑄳𑄠𑄕𑄴 𑄥𑄙𑄧𑄚𑄴 𑄌𑄋𑄴𑄟 𑄃 𑄼।,.সুগন্ধি কলুষ সাধনের চামা আছে।
𑄥𑄪𑄚𑄚𑄪 𑄢𑄨𑄚 𑄘𑄬𑄝𑄨 𑄌𑄋𑄴𑄟।,কানে না শোনা এক জাতী পাখি
𑄥𑄪𑄚𑄚𑄪 𑄚𑄮𑄠𑄢𑄟𑄴 𑄌𑄋𑄴𑄟 𑄚𑄝𑄣𑄧𑄇𑄴 𑄃𑄇𑄴𑄗𑄧 𑄉𑄮𑄟𑄬𑄖𑄴 𑄇𑄪𑄣𑄧𑄖𑄴𑄪𑄚𑄴 𑄖 𑄎𑄬𑄖𑄴𑄖 𑄥𑄪𑄚𑄚𑄪𑄥𑄛𑄳𑄠𑄬 𑄌𑄋𑄴𑄟 𑄥𑄧𑄟𑄢𑄬 𑄟𑄨𑄋𑄨𑄚𑄨 𑄌𑄉𑄣𑄖𑄴 𑄝𑄎𑄬𑄭𑄍𑄧𑄢 𑄃𑄘𑄟𑄧𑄖𑄴 𑄈𑄪𑄌𑄴 𑄘𑄨𑄣𑄧।,.শুনানো নাচার সম পাহাের পাশ দিে হেঁটে যাচ্ছে সে
𑄥𑄪𑄚𑄚𑄪 𑄥𑄛𑄳𑄠𑄬 𑄌𑄋𑄴𑄟 𑄉𑄮𑄟𑄬𑄖𑄴 𑄇𑄪𑄣𑄧𑄖𑄴 𑄝𑄬𑄢 𑄡𑄬𑄚𑄬𑄭 𑄟 𑄦𑄢 𑄥𑄪𑄚𑄚𑄪 𑄚𑄮𑄠𑄢𑄟𑄴 𑄌𑄋𑄴𑄟𑄘𑄊𑄨𑄢𑄬 𑄣𑄧𑄉𑄬 𑄃𑄚𑄬।,সুঁচালো সাপে চাংমাহ্ গ্রামের মাঠে বো বো ঘুরে বো যেন মা হারানো বাচ্চাগুলোকে সাথে নিে আসে
𑄥𑄧𑄇𑄳𑄠𑄬 𑄃𑄬𑄙𑄧𑄇𑄳𑄠𑄬 𑄉𑄧𑄢𑄨 𑄃𑄘𑄟𑄬 𑄃𑄘𑄟𑄬 𑄇𑄨𑄠𑄮𑄋𑄴 𑄃 𑄃𑄨𑄇𑄴𑄪𑄣𑄴 𑄚𑄧 𑄃𑄬𑄣𑄧।,সবসম এত ব করে গ্রামে গ্রামে কিছু আসলো না
𑄌𑄨𑄖𑄴𑄟𑄧𑄢𑄧𑄋𑄧𑄖𑄴𑄪𑄚𑄴 𑄃𑄬𑄇𑄴𑄮 𑄞𑄚𑄴𑄖𑄬𑄢𑄬 𑄌𑄧𑄁𑄢𑄍𑄧𑄢𑄨 𑄜𑄪𑄣𑄴𑄌𑄚𑄴 𑄇𑄢𑄴𑄝𑄢𑄨 𑄛𑄢 𑄃𑄘𑄟𑄧𑄖𑄴 𑄇𑄧𑄚𑄧 𑄃𑄬𑄇𑄴𑄈𑄚𑄴 𑄇𑄬𑄎𑄴𑄮𑄖𑄴 𑄜𑄁 𑄉𑄧𑄢𑄨 𑄃𑄚𑄨𑄣𑄬 𑄥𑄬 𑄞𑄚𑄴𑄖𑄬𑄝𑄱𑄣𑄮𑄭 𑄥𑄪𑄚𑄚𑄪 𑄥𑄛𑄳𑄠𑄬 𑄌𑄋𑄴𑄟𑄢𑄴 𑄘𑄬𑄊 𑄦𑄧𑄠𑄴।,ছোট থেকে একটা ভান্তেকে চংরাং করে গ্রামের কোন এক জঙ্গলে নিে আসলে সে ভের মতো দেখতে হ
𑄚𑄚𑄋𑄴 𑄇𑄧𑄙 𑄥𑄬𑄢𑄬 𑄥𑄪𑄚𑄚𑄪 𑄥𑄛𑄳𑄠𑄬 𑄌𑄋𑄴𑄟 𑄞𑄚𑄴𑄖𑄬𑄢𑄬 𑄥𑄪𑄚𑄚𑄪 𑄚𑄮𑄠𑄢𑄟𑄧 𑄌𑄋𑄴𑄟𑄢𑄴 𑄛𑄮𑄭𑄘𑄳𑄠𑄚𑄬 𑄇𑄧𑄙 𑄇𑄧𑄚𑄢𑄴 𑄎𑄪 𑄦𑄧𑄠𑄴।,নানা কথা বলতে বলতে চামা সাপটা চামার সমে কথা বলতে বলতে কান্না হ
𑄞𑄚𑄴𑄖𑄬𑄖𑄴𑄪𑄚𑄴 𑄌𑄨𑄖𑄴𑄛𑄪𑄢𑄨 𑄃𑄪𑄘𑄨 𑄣𑄬𑄊 𑄥𑄬𑄊𑄬𑄝𑄖𑄴𑄬 𑄖 𑄥𑄧𑄟𑄢𑄬 𑄌𑄨𑄖𑄴𑄟𑄧𑄢𑄧𑄋𑄧𑄖𑄴 𑄚𑄨𑄣𑄧।,ভ থেকে তার মনটা বের হে গেল
𑄞𑄚𑄴𑄖𑄴𑄬𑄢𑄴 𑄃𑄢𑄧 𑄃𑄬𑄇𑄴𑄮 𑄉𑄪𑄢𑄧 𑄃𑄬𑄣𑄧।,খারাপ আর একটা বিপদ আসলো
𑄖 𑄚𑄋𑄚𑄴 𑄇𑄣𑄨𑄇𑄪𑄟𑄢𑄴 𑄌𑄋𑄴𑄟।,তার নািটা কালির মতো
𑄇𑄣𑄨 𑄇𑄪𑄟𑄢𑄴 𑄌𑄋𑄴𑄟 𑄚𑄮𑄠𑄢𑄟𑄴 𑄌𑄋𑄴𑄟𑄖𑄴𑄪𑄚𑄴 𑄝𑄧𑄎𑄚𑄴 𑄃𑄪𑄎𑄮𑄣𑄧 𑄦𑄧𑄠𑄴।,কালি কুমারের চামাটা নাচা করে উঠে
"𑄃𑄬𑄇𑄴 𑄥𑄧𑄟𑄢𑄬 𑄃𑄨𑄇𑄴𑄪𑄣𑄧𑄖𑄴 𑄡𑄬𑄘𑄇𑄴, 𑄈𑄬𑄘𑄇𑄴 𑄃 𑄗𑄬𑄘𑄇𑄴।","এক সাথে স্কুলে যা,খোল আছে"
𑄃𑄨𑄇𑄴𑄬 𑄉𑄧𑄢𑄨 𑄖𑄢 𑄇𑄬𑄣𑄌𑄴 𑄖𑄳𑄢𑄨 𑄃𑄪𑄘𑄨𑄣𑄇𑄴।,এখন করে তাদের ক্ল্যাচটা তেতো হলো
𑄇𑄣𑄨 𑄇𑄪𑄟𑄢𑄴 𑄌𑄋𑄴𑄟𑄢𑄴 𑄥𑄧𑄣𑄴𑄣 𑄛𑄧𑄢𑄟𑄧𑄢𑄴𑄥𑄧𑄣𑄮𑄭 𑄚𑄮𑄠𑄢𑄟𑄴 𑄌𑄋𑄴𑄟 𑄌𑄧𑄣𑄨 𑄛𑄬𑄘𑄧।,কালো রঙের চামা দিে নাাচাা করতে হ
𑄖 𑄇𑄧𑄙 𑄚𑄧 𑄟𑄚𑄨𑄣𑄬 𑄥𑄬𑄎 𑄈𑄬𑄭 𑄛𑄠𑄴।,তার কথা না মানলে তাাতাি খাওা যা
𑄌𑄋𑄴𑄟 𑄞𑄢𑄨 𑄙𑄁 𑄃𑄬𑄣𑄧।,চামা অনেক ব হছে
𑄃𑄧𑄇𑄴𑄗𑄧 𑄟𑄧𑄎𑄨𑄟𑄴 𑄃𑄨𑄇𑄴𑄪𑄣𑄧𑄖𑄴 𑄚𑄧 𑄡𑄠𑄴।,. সম মেেরা স্কুলে যা না
𑄉𑄬𑄣𑄬𑄠𑄳𑄠𑄧 𑄛𑄧𑄘𑄧𑄖𑄴 𑄛𑄧𑄣𑄴𑄬 𑄗𑄠𑄴।,.পাহাে পলেপদে পে
𑄃 𑄚𑄮𑄠𑄢𑄟𑄬 𑄃𑄨𑄇𑄴𑄪𑄣𑄧𑄖𑄴 𑄉𑄬𑄣𑄬 𑄟𑄚 𑄉𑄧𑄢𑄬।,এক নাগাে স্কুলে গেলে মানা করে
𑄡𑄬𑄘𑄨𑄚𑄴 𑄃𑄨𑄇𑄴𑄪𑄣𑄧𑄖𑄴 𑄡𑄚 𑄚𑄧 𑄦𑄧𑄠𑄴 𑄥𑄬𑄘𑄨𑄚𑄴 𑄙𑄬𑄁 𑄉𑄧𑄢𑄨𑄘𑄧।,যেদিন স্কুলে যাওা হনা তখন বকাবকি করে
"𑄇𑄪𑄌𑄴𑄬𑄣𑄴 𑄌𑄪𑄢𑄴, 𑄚𑄢𑄨𑄇𑄪𑄣𑄴 𑄌𑄪𑄢𑄴 𑄚𑄚𑄋𑄚𑄴 𑄙𑄬𑄁 𑄉𑄧𑄢𑄬।","কুাল চুরি,নারিকুল চুরি সবসম করে"
𑄃𑄬𑄇𑄴𑄘𑄨𑄚𑄴 𑄖𑄢𑄢𑄴 𑄙𑄬𑄋𑄧 𑄇𑄧𑄙𑄚𑄨 𑄞𑄚𑄴𑄖𑄬 𑄇𑄚𑄬 𑄣𑄬 𑄉𑄧𑄌𑄴𑄬।,এক দিন তাদের নদীর কথা ভে কানে পেছে
"𑄞𑄚𑄴𑄖𑄬 𑄖𑄢 𑄘𑄨𑄎𑄧𑄢𑄬 𑄘𑄉𑄨𑄣𑄧, 𑄚𑄮𑄠𑄧𑄢𑄟𑄧𑄖𑄴𑄪𑄚𑄴 𑄛𑄪𑄎𑄮𑄢𑄴 𑄉𑄧𑄢𑄨𑄣𑄧 𑄥𑄬 𑄇𑄧𑄙।","ভে তারা দুইজনে ডাকলো,নাারাম থেকে পূজা করল সেই কথা"
𑄚𑄮𑄠𑄢𑄧𑄟𑄬 𑄇𑄧𑄚𑄧 𑄎𑄮𑄛𑄴 𑄚𑄧 𑄘𑄨 𑄝𑄚 𑄥𑄨𑄢𑄬𑄝𑄱 𑄛𑄮𑄌𑄴𑄬 𑄛𑄮𑄌𑄴𑄬 𑄃𑄊𑄬।,নাারমে কোনো জোা না দিে শুধু মাথার বালিশটা পে আছে
"𑄖 𑄙𑄧𑄇𑄴 𑄝𑄪𑄏𑄨 𑄞𑄚𑄴𑄖𑄴𑄬 𑄇𑄧𑄣𑄧, 𑄖𑄬 𑄌𑄪𑄢𑄴 𑄉𑄧𑄢𑄬 𑄞𑄨𑄣𑄨𑄚𑄴 𑄖𑄪𑄭 𑄌𑄪𑄢𑄴 𑄉𑄧𑄢𑄨𑄝𑄬?","তার চেহারা দেখে ভ লাগে,সে চুরি করে নাকি তুমি চুরি করো?"
𑄝𑄢𑄴𑄝𑄢𑄴 𑄖𑄢𑄢𑄴 𑄙𑄬𑄋𑄧 𑄇𑄧𑄙 𑄃 𑄃𑄨𑄇𑄴𑄪𑄣𑄧𑄖𑄴 𑄚𑄧 𑄡𑄚𑄢𑄴 𑄇𑄧𑄙 𑄥𑄪𑄚𑄨 𑄞𑄚𑄴𑄖𑄬 𑄚𑄧 𑄢𑄊𑄬𑄝𑄢𑄴 𑄟𑄧𑄚𑄴𑄎𑄪𑄇𑄴 𑄉𑄧𑄢𑄬।,বার বার আসা যাওার কথা শুনে ভে আর থাকতে ইচ্ছে করে না
𑄥𑄨𑄠𑄚𑄴 𑄇𑄣𑄨𑄇𑄪𑄟𑄢𑄧 𑄇𑄚𑄬 𑄣𑄳𑄦𑄬 𑄉𑄧𑄌𑄴𑄬।,.সে কালিটা কানে পরিধান করছে।
𑄚𑄮𑄠𑄢𑄧𑄟𑄢𑄬 𑄘𑄉𑄨 𑄇𑄧𑄣𑄧 𑄃𑄬𑄝𑄢𑄴 𑄃𑄟𑄢𑄴 𑄃𑄨𑄙𑄪 𑄗𑄬𑄝𑄢𑄴 𑄎𑄉 𑄚𑄬𑄭।,নাারমাকে ডেকে বল এবার আমাদের এখানে থাকার জাগা নেই
𑄞𑄚𑄴𑄖𑄬 𑄙𑄝𑄬 𑄘𑄨𑄝𑄢𑄴 𑄇𑄧𑄢𑄴।,ভে দৌে যাওা
𑄚𑄮𑄠𑄢𑄟𑄧𑄢𑄴 𑄝𑄪𑄉𑄧𑄖𑄴 𑄌𑄨𑄘𑄬 𑄥𑄧𑄟𑄬𑄣𑄧।,এক জাতী বুনো ফল যা সবজি হিসেবে ব্যবহৃত হ
"𑄇𑄨 𑄉𑄧𑄢𑄨𑄝𑄧, 𑄞𑄝𑄨 𑄇𑄪𑄣𑄧 𑄚𑄧 𑄛𑄠𑄴।","কি গরিব,নিজের কূল পাওা যা না"
𑄖𑄬 𑄌𑄠𑄴 𑄣𑄬𑄊 𑄛𑄧𑄢 𑄥𑄨𑄊𑄨𑄝𑄢𑄴।,সে চাা পা দেখতে চা
𑄇𑄣𑄨 𑄇𑄪𑄟𑄢𑄴 𑄚𑄮𑄠𑄢𑄟𑄧𑄢𑄬 𑄝𑄢𑄴 𑄝𑄢𑄴 𑄇𑄪𑄎𑄮𑄣𑄨 𑄉𑄧𑄢𑄬 𑄙𑄬𑄭 𑄡𑄬𑄝𑄢𑄴।,কালি কুমারের নািে নাাচাা করে যেতে হ
"𑄛𑄧𑄢𑄬 𑄚𑄮𑄠𑄢𑄟𑄧𑄢𑄬 𑄝𑄪𑄇𑄴 𑄝𑄚𑄨 𑄘𑄨𑄚𑄬𑄭 𑄇𑄧𑄣𑄧, 𑄌𑄨𑄘𑄬 𑄚𑄧 𑄉𑄧𑄢𑄨𑄌𑄴, 𑄖𑄪𑄭 𑄝𑄚 𑄟𑄧 𑄥𑄧𑄟𑄢𑄬 𑄡𑄬𑄣𑄬 𑄃𑄧𑄞𑄧।","পারামকে বুক বেঁধে দাও,চিন্তা করিও না,তুমি শুধু আমার সাথে যাও"
𑄟𑄪𑄭 𑄝𑄬𑄇𑄴 𑄎𑄪𑄉𑄧𑄣𑄴 𑄉𑄧𑄢𑄨𑄟𑄴।,.আমি সব যোগা করবো
𑄘𑄨𑄚𑄴𑄛𑄪𑄢𑄴 𑄗𑄨𑄇𑄴 𑄉𑄧𑄢𑄨 𑄖𑄢 𑄇𑄧𑄣𑄴𑄇𑄖 𑄟𑄧𑄈𑄳𑄠𑄬 𑄣𑄧𑄖𑄴 𑄘𑄨𑄣𑄇𑄴 𑄞𑄚𑄴𑄖𑄬𑄖𑄴𑄪𑄚 𑄌𑄪𑄢𑄴 𑄉𑄧𑄢𑄨।,সারাদিন চুপ করে তারা কলকা মাকার জন্য রওনা দিল
𑄃𑄨𑄚𑄴𑄘𑄨 𑄞𑄚𑄴𑄖𑄬 𑄖𑄢 𑄙𑄬𑄭 𑄡𑄚 𑄈𑄧𑄝𑄧𑄢𑄴 𑄛𑄬𑄣𑄧।,এই ভে তারা পথে যাওা খবর পেল
𑄞𑄚𑄴𑄖𑄬 𑄌𑄨𑄘𑄬 𑄥𑄧𑄟𑄴𑄬।,ভে ভে
𑄝𑄬𑄇𑄴 𑄎𑄉𑄠𑄴 𑄎𑄉𑄠𑄴 𑄈𑄧𑄝𑄧𑄢𑄴 𑄘𑄨𑄣𑄧 𑄞𑄚𑄴𑄖𑄬।,সব জাগা জাগা খবর দিল সে
𑄇𑄧𑄠𑄬𑄇𑄴 𑄘𑄨𑄚𑄴 𑄛𑄧𑄢𑄴 𑄌𑄨𑄖𑄉𑄁𑄝𑄧𑄚𑄴𑄘𑄧𑄢𑄧𑄖𑄴𑄪𑄚𑄴 𑄖𑄢𑄢𑄬 𑄙𑄪𑄢𑄨 𑄃𑄚𑄨 𑄞𑄚𑄴𑄖𑄬𑄢𑄬 𑄉𑄧𑄎𑄬 𑄘𑄨𑄣𑄇𑄴।,কদিন পর চিতা জঙ্গল থেকে তাদেরকে ধরে নিয়ে গেল
𑄃𑄨𑄇𑄳𑄠𑄬 𑄞𑄚𑄴𑄖𑄬𑄢𑄴 𑄃𑄢𑄧 𑄝𑄬𑄌𑄴 𑄌𑄨𑄘𑄬 𑄥𑄧𑄟𑄬𑄣𑄧।,একটা ভিক্ষুক আরও বেশি চিবিেছে
𑄇𑄧𑄠𑄬𑄇𑄴 𑄘𑄨𑄚𑄴 𑄡𑄘𑄬 𑄞𑄋𑄟𑄪𑄢𑄧𑄖𑄴𑄪𑄚𑄴 𑄡𑄖𑄳𑄢𑄟𑄧𑄕𑄨 𑄚𑄋𑄬 𑄃𑄬𑄇𑄴 𑄝𑄧𑄚𑄴𑄘 𑄌𑄨𑄖𑄴𑄟𑄧𑄢𑄧𑄁 𑄇𑄨𑄠𑄮𑄋𑄧𑄖𑄴 𑄟𑄚𑄴𑄠𑄳𑄠 𑄥𑄬𑄢 𑄡𑄠𑄴।,কদিন যাওার পর ভাঙা পাের থেকে যাত্রাপালা করে এক বান্দার শরীর দিে মানুষ মারা যা
𑄞𑄚𑄴𑄖𑄬 𑄖𑄢𑄬 𑄇𑄧𑄠𑄴- 𑄃𑄬 𑄉𑄪𑄢𑄧𑄝𑄧𑄢𑄬 𑄝𑄎𑄬𑄭𑄍𑄧𑄢 𑄥𑄛𑄳𑄠𑄬𑄢𑄬 𑄉𑄧𑄎𑄬 𑄘𑄨 𑄘𑄨𑄌𑄴𑄮𑄠𑄴।,ভে তাকে বলে-এই ভে সাপটাকে মেরে দাও
𑄊𑄧𑄢𑄧𑄖𑄴 𑄣𑄪𑄟𑄨 𑄡𑄖𑄳𑄢𑄟𑄧𑄕𑄨 𑄚𑄮𑄠𑄢𑄟𑄧𑄖𑄴𑄪𑄚𑄴 𑄝𑄬𑄇𑄴 𑄃𑄪𑄘𑄧 𑄣𑄧𑄣𑄧।,বািে যাওার সম সব তুলে নিল
𑄛𑄪𑄎𑄮𑄢𑄴 𑄉𑄧𑄢𑄬𑄉𑄧𑄢𑄬 𑄖𑄢𑄴 𑄊𑄧𑄢𑄧𑄖𑄴 𑄉𑄧𑄢𑄪 𑄌𑄧𑄢 𑄗𑄬𑄝𑄧 𑄚𑄨𑄚।,পূজা করতে করতে তার বািতে গরু চতে হবে
𑄚𑄮𑄠𑄢𑄟𑄬 𑄖 𑄊𑄧𑄢𑄧𑄖𑄴 𑄗𑄬𑄝𑄢𑄴 𑄢𑄎𑄨 𑄦𑄧𑄣𑄧।,তার বািতে থাকার জন্য সম্মত হলো
"𑄇𑄨𑄖𑄴𑄬, 𑄖𑄢𑄴 𑄘𑄬𑄚𑄬 𑄌𑄬𑄣𑄬 𑄚𑄬𑄭 𑄝𑄋𑄬 𑄌𑄬𑄣𑄬 𑄇𑄧𑄚𑄧 𑄉𑄳𑄦𑄖𑄴 𑄝𑄌𑄳𑄠𑄬 𑄃𑄨𑄖𑄴𑄮𑄇𑄪𑄘𑄪𑄟𑄴 𑄚𑄬𑄭।","কেন, তার ডান দিকে না থাকলে কোন গাছে বাঁশ নেই"
